timestamp,test-class,test-method,time,description,result
"2022-05-31 16:12:21.631","acme.testing.inventor.xx1.InventorXx1CreateTest","positiveTest",30489,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, xx3=Prueba xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Cannot find 'By.id: list'"
"2022-05-31 16:12:45.561","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",23118,""[1] itemRecordIndex=17, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:13:05.565","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",19319,""[2] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:13:25.728","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",19564,""[3] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=null, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:13:46.201","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",19687,""[4] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=null, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:14:06.312","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",19411,""[5] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=null, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:14:25.791","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18797,""[6] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=null, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:14:45.058","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18629,""[7] itemRecordIndex=17, recordIndex=0, code=po21-210412, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:15:03.869","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",17939,""[8] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:15:23.864","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",19298,""[9] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:15:43.26","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18725,""[10] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/04/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:16:02.308","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18404,""[11] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/02/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:16:21.602","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18350,""[12] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR -15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:16:41.379","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",18970,""[13] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=BTC 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 16:17:01.825","acme.testing.inventor.xx1.InventorXx1CreateTest","hackingTest",19810,""hackingTest()"","OK"
