timestamp,test-class,test-method,time,description,result
"2022-05-31 16:27:31.561","acme.testing.inventor.huster.InventorHusterCreateTest","positiveTest",23035,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, themes=Prueba huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.id: list'"
"2022-05-31 16:27:52.899","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",20546,""[1] itemRecordIndex=17, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:28:16.462","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",22576,""[2] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:28:41.157","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",23620,""[3] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=null, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:29:02.987","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",21028,""[4] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:29:29.13","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",24763,""[5] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:29:54.949","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",24721,""[6] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:30:18.725","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",22701,""[7] itemRecordIndex=17, recordIndex=0, code=po21-210412, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:30:45.03","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",25208,""[8] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:31:10.519","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",24445,""[9] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:31:34.949","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",23130,""[10] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/04/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 16:31:48.302","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",12054,""[11] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/02/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 16:32:01.593","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",12089,""[12] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 16:32:12.396","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",9818,""[13] itemRecordIndex=17, recordIndex=0, code=po21-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/06/30 00:00, endPeriod=2022/07/10 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","Listing was expected to be empty"
