timestamp,test-class,test-method,time,description,result
"2022-05-31 19:56:44.665","acme.testing.inventor.xx1.InventorXx1CreateTest","positiveTest",24365,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, xx3=Prueba xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/12 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:56:58.961","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13875,""[1] itemRecordIndex=22, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:57:12.714","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13328,""[2] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:57:25.903","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",12776,""[3] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=null, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:57:39.25","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",12923,""[4] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=null, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:57:52.564","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",12844,""[5] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=null, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:58:06.562","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13601,""[6] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=null, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:58:20.163","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13188,""[7] itemRecordIndex=22, recordIndex=0, code=po22-220501, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:58:34.144","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13599,""[8] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:58:47.628","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13060,""[9] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:59:01.455","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",13424,""[10] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Errors were expected, but not found"
"2022-05-31 19:59:07.361","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5477,""[11] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/02/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:59:13.074","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5276,""[12] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=EUR -15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:59:18.872","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5264,""[13] itemRecordIndex=22, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/10 00:00, xx6=BTC 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:59:34.659","acme.testing.inventor.xx1.InventorXx1CreateTest","hackingTest",15299,""hackingTest()"","OK"
