timestamp,test-class,test-method,time,description,result
"2022-05-31 20:17:50.911","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",19357,""[1] itemRecordIndex=14, recordIndex=0, code=po01-220529, themes=2022/05/01 00:00, statement=Primer huster, starPeriod=Esta es una entidad creada para el Control Check de DP, endPeriod=2022/05/01 00:00, provision=2022/05/10 00:00, additionalInfo=EUR 15,000.00"","Cannot find 'By.id: list'"
"2022-05-31 20:18:02.425","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11068,""[1] itemRecordIndex=14, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:18:13.98","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11105,""[2] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:18:26.317","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11894,""[3] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:18:38.658","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11860,""[4] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:18:50.281","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11186,""[5] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:19:01.509","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10849,""[6] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:19:13.715","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11815,""[7] itemRecordIndex=14, recordIndex=0, code=po22-220401, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:19:25.189","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11087,""[8] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:19:37.746","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",12113,""[9] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:19:50.133","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11527,""[10] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:20:02.116","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11594,""[11] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/02/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:20:13.917","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11364,""[12] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-05-31 20:20:25.726","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",11441,""[13] itemRecordIndex=14, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/01 00:00, endPeriod=2022/07/10 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
