timestamp,test-class,test-method,time,description,result
"2022-06-01 12:34:58.3","acme.testing.inventor.xx1.InventorXx1UpdateTest","positiveTest",19792,""[1] itemRecordIndex=14, recordIndex=0, code=po01-, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/21 00:00, xx52=2022/08/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Expected value 'po01-' in attribute 0 of record 0, but found 'po01-220601'"
"2022-06-01 12:35:12.827","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13783,""[1] itemRecordIndex=14, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:35:27.174","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13749,""[2] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:35:41.045","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13375,""[3] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=null, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:35:54.993","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13451,""[4] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=null, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:36:09.173","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13617,""[5] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=null, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:36:23.011","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13328,""[6] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=null, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:36:37.836","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",14165,""[7] itemRecordIndex=14, recordIndex=0, code=po22-220401, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:36:51.891","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13514,""[8] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:37:05.569","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13152,""[9] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:37:20.996","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",14766,""[10] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/05/01 00:00, xx52=2022/07/17 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:37:35.353","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",13878,""[11] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/01 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-06-01 12:37:38.32","acme.testing.inventor.xx1.InventorXx1UpdateTest","negativeTest",2375,""[12] itemRecordIndex=14, recordIndex=0, code=po22-220531, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/08 00:00, xx52=2022/07/17 00:00, xx6=EUR -15,000.00, xx7=https://www.twitch.tv"","The action didn't work well"
