timestamp,test-class,test-method,time,description,result
"2022-06-02 22:05:47.719","acme.testing.inventor.huster.InventorHusterUpdateTest","positiveTest",14187,""[1] itemRecordIndex=8, recordIndex=0, code=po01-, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/21 00:00, endPeriod=2022/08/10 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","Cannot find 'By.id: list'"
"2022-06-02 22:05:58.197","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10117,""[1] itemRecordIndex=8, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:06:08.582","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10034,""[2] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:06:21.152","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",12026,""[3] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=null, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:06:32.302","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10818,""[4] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:06:42.47","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9841,""[5] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:06:52.765","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9964,""[6] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:02.957","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9878,""[7] itemRecordIndex=8, recordIndex=0, code=po22-220401, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:13.16","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9888,""[8] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:23.51","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10014,""[9] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:33.764","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9930,""[10] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:44.101","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",10001,""[11] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/01 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:07:54.357","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",9937,""[12] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR -15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-02 22:08:02.787","acme.testing.inventor.huster.InventorHusterUpdateTest","negativeTest",8098,""[13] itemRecordIndex=8, recordIndex=0, code=po22-220531, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=BTC 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
