timestamp,test-class,test-method,time,description,result
"2022-06-03 16:54:36.602","acme.testing.inventor.huster.InventorHusterListTest","positiveTest",24057,""[1] itemRecordIndex=7, recordIndex=0, code=po01-220529, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/05/01 00:00, endPeriod=2022/05/10 00:00, provision=EUR 15,000.00"","Expected value 'po01-220529' in attribute 0 of record 0, but found '22/0603/roo'"
"2022-06-03 16:55:10.567","acme.testing.inventor.huster.InventorHusterCreateTest","positiveTest",30580,""[1] itemRecordIndex=2, recordIndex=0, code=/ejj, themes=Prueba huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:55:37.676","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",25569,""[1] itemRecordIndex=13, recordIndex=0, code=null, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:56:00.315","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",21806,""[2] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=null, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:56:24.183","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",23029,""[3] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=Primer huster, statement=null, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:56:47.138","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",22178,""[4] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=null, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:57:12.479","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",24009,""[5] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=null, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:57:34.357","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",21046,""[6] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=null, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:57:57.222","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",22009,""[7] itemRecordIndex=13, recordIndex=0, code=220531/ejjjjd, themes=Primer huster, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:58:21.733","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",23491,""[8] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, statement=Esta es una entidad creada para el Control Check de DP, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
"2022-06-03 16:58:43.822","acme.testing.inventor.huster.InventorHusterCreateTest","negativeTest",20896,""[9] itemRecordIndex=13, recordIndex=0, code=220531/ejj, themes=Primer huster, statement=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, starPeriod=2022/07/08 00:00, endPeriod=2022/07/17 00:00, provision=EUR 15,000.00, additionalInfo=https://www.twitch.tv"","OK"
